,,Beginning stocks,Production,Imports 2/,Total supply 3/,,,,,,,
,Q4 Mar-May,"1,235",,31,"1,266",,,,,,,
,MY Jun-May,743,"2,252",124,"3,119",,,,,,,
2013/14,Q1 Jun-Aug,718,"2,135",36,"2,889",,,,,,,
,Q2 Sep-Nov,"1,870",,48,"1,918",,,,,,,
,Q3 Dec-Feb,"1,475",,42,"1,517",,,,,,,
,Q4 Mar-May,"1,057",,47,"1,104",,,,,,,
,MY Jun-May,718,"2,135",172,"3,025",,,,,,,
2014/15,Q1 Jun-Aug,590,"2,026",44,"2,661",,,,,,,
,Q2 Sep-Nov,"1,907",,35,"1,942",,,,,,,
,Q3 Dec-Feb,"1,530",,37,"1,566",,,,,,,
,Q4 Mar-May,"1,140",,36,"1,176",,,,,,,
,MY Jun-May,590,"2,026",151,"2,768",,,,,,,
2015/16,Q1 Jun-Aug,752,"2,062",27,"2,841",,,,,,,
,Q2 Sep-Nov,"2,097",,27,"2,124",,,,,,,
,Q3 Dec-Feb,"1,746",,34,"1,780",,,,,,,
,Q4 Mar-May,"1,372",,25,"1,396",,,,,,,
,MY Jun-May,752,"2,062",113,"2,927",,,,,,,
2016/17,Q1 Jun-Aug,976,"2,309",33,"3,317",,,,,,,
,Q2 Sep-Nov,"2,545",,29,"2,575",,,,,,,
,Q3 Dec-Feb,"2,079",,25,"2,104",,,,,,,
,Q4 Mar-May,"1,659",,31,"1,690",,,,,,,
,MY Jun-May,976,"2,309",118,"3,402",,,,,,,
2017/18,Q1 Jun-Aug,"1,181","1,741",42,"2,964",,,,,,,
,Q2 Sep-Nov,"2,267",,36,"2,303",,,,,,,
,Q3 Dec-Feb,"1,874",,38,"1,911",,,,,,,
,Q4 Mar-May,"1,495",,42,"1,538",,,,,,,
,MY Jun-May,"1,181","1,741",158,"3,079",,,,,,,
2018/19,Q1 Jun-Aug,"1,099","1,885",41,"3,025",,,,,,,
,Q2 Sep-Nov,"2,390",,31,"2,421",,,,,,,
,Q3 Dec-Feb,"2,009",,32,"2,042",,,,,,,
,Q4 Mar-May,"1,593",,30,"1,623",,,,,,,
,MY Jun-May,"1,099","1,885",135,"3,119",,,,,,,
2019/20,Q1 Jun-Aug,"1,080","1,932",23,"3,035",,,,,,,
,Q2 Sep-Nov,"2,346",,22,"2,368",,,,,,,
,Q3 Dec-Feb,"1,841",,28,"1,869",,,,,,,
,Q4 Mar-May,"1,415",,30,"1,445",,,,,,,
,MY Jun-May,"1,080","1,932",104,"3,116",,,,,,,
2020/21,Q1 Jun-Aug,"1,028","1,820",30,"2,878",,,,,,,
,Q2 Sep-Nov,"2,158",,28,"2,186",,,,,,,
,Q3 Dec-Feb,"1,703",,22,"1,725",,,,,,,
,Q4 Mar-May,"1,311",,21,"1,332",,,,,,,
,MY Jun-May,"1,028","1,820",100,"2,948",,,,,,,
2021/22,Q1 Jun-Aug,845,"1,646",25,"2,517",,,,,,,
,Q2 Sep-Nov,"1,774",,24,"1,798",,,,,,,
,Q3 Dec-Feb,"1,377",,22,"1,399",,,,,,,
,Q4 Mar-May,"1,029",,25,"1,054",,,,,,,
,MY Jun-May,845,"1,646",96,"2,588",,,,,,,
2022/23,Q1 Jun-Aug,674,"1,650",33,"2,357",,,,,,,
,Q2 Sep-Nov,"1,777",,27,"1,804",,,,,,,
,Q3 Dec-Feb,"1,312",,32,"1,344",,,,,,,
,Q4 Mar-May,941,,29,971,,,,,,,
,MY Jun-May,674,"1,650",122,"2,446",,,,,,,
2023/24,Q1 Jun-Aug,570,"1,812",36,"2,418",,,,,,,
,Q2 Sep-Nov,"1,767",,37,"1,804",,,,,,,
,MY Jun-May,570,"1,812",145,"2,527",,,,,,,
,,,,,,,,,,,,
"Note: -- = no data. MY = marketing year. Q, qtr = quarter.",,,,,,,,,,,,
1/ June-May. Latest data may be preliminary or projected.,,,,,,,,,,,,
2/ Includes flour and selected other products expressed in grain-equivalent bushels.,,,,,,,,,,,,
3/ Totals may not add due to rounding.,,,,,,,,,,,,
"Source: USDA, World Agricultural Outlook Board, World Agricultural Supply and Demand Estimates and supporting materials.",,,,,,,,,,,,
Date run: 3/8/2024 1:25:59 PM,,,,,,,,,,,,
